"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"STANDISH LANDFILL",28182,"MOODY RD","STANDISH","7.5 ACRE LANDFILL CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 7.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.MONITORING SHOWS GROUNDWATER CONTAMINATION:  VOCS, SVOCS, METALS. THERE IS ALSO CONCERN FOR A FUTURE DISCHARGE OF CONTAMINATION INTO THE STICKEY RIVER WHICH FEEDS LAKE SEBAGO. TRANSFER STATION ALSO ON SITE. LANDFILL IS IN CLOSURE PROCESS.","POST-1976",43.76353,-70.54747
"SULLIVAN EAST LANDFILL",29807,"TRANSFER STAT RD OFF RT 183","SULLIVAN","1.1 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.1 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.51784,-68.134
"TEMPLE LANDFILL",29356,"MAPLE ST","TEMPLE","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.  MITCHELL ENGINEERING PROVIDED ENGINEERING SERVICES TO TOWN DUMP  ADDRESS: MITCHELL EINGINEERING PO BOX 362 TEMPLE, MAINE 04984 (207)778-2462","POST-1976",44.68717,-70.22033
"WALLAGRASS LANDFILL",29886,"SOLDIER POND","WALLAGRASS","2 ACRE LANDFILL CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",47.15634,-68.58381
"SPRINGFIELD LANDFILL",29676,"RTE 169 AND 170 PARK STREET","SPRINGFIELD","2.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.44206,-68.11762
"VEAZIE DUMP",29678,"OLD COUNTY RD","VEAZIE","2 ACRE LANDFILL CLOSED IN 1974 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN.","CLOSED IN 1974 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.2 ACRE LANDFILL.   THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN.","PRE-1976",44.82834,-68.70102
"SULLIVAN NORTH LANDFILL",29806,"WHALES BACK  RD","SULLIVAN","1.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.55133,-68.23849
"TOPSFIELD LANDFILL",29748,"SCHOOL RD RTE 6","TOPSFIELD","1.2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.42687,-67.71202
"OAKLAND LANDFILL",27589,"TOWN FARM RD","OAKLAND","11 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 11 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.HISTORICAL NOTES: ACTIVE LANDFILL AT THIS SITE WITH NO EVIDENCE OF A CLOSURE PLAN OR GROUND WATER MONITORING FOUND IN THE FILE. LATEST FILE ENTRY - JULY 1989. DEP INSPECTION FOUND INAPPROPRIATE DAILY COVER MATERIAL BEING USED.  ALSO FOUND PROBLEMS WITH STANDING WATER SURROUNDING THE SITE AND WHITE GOODS BEING STORED IN THE WATER. SEVERAL LEACHATE SEEPS OBSERVED. AS OF AUGUST 2008 THIS LANDFILL HAS AN ONGOING ENVIRONMENTAL MONITORING PROGRAM AND HAS BEEN CLOSED IN ACCORDANCE WITH DEP'S LANDFILL CLOSURE PROGRAM.","POST-1976",44.54638,-69.75758
"OLD ORCHARD BEACH LANDFILL - NEW",29899,"108 SMITHWHEEL RD","OLD ORCHARD BEACH","10 ACRE LANDFILL CLOSED IN 1988 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1988 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  10 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.HISTORICAL NOTES: OLD ORCHARD BEACH RECEIVED A LICENSE TO DISPOSE OF MUNICIPAL SEWAGE TREATMENT PLANT SLUDGE AT THE TOWN LANDFILL.  THE LICENSE WAS ISSUED FEBRUARY 22, 1978 AND WAS EFFECTIVE UNTIL MAY 31, 1978.  THE SITE WAS ALSO LICENSED FOR THE DISPOSAL OF SEWAGE GRIT UNDER LIC. #S-004175-00.","POST-1976",43.51974,-70.40619
"AURORA LANDFILL",29752,"RTE 9","AURORA","2.5 ACRE LANDFILL CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL. THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.85842,-68.28984
"HOLDEN OLD DUMP",108402,"LOWER DEDHAM RD","HOLDEN","FORMER MUNICIPAL LANDFILL THAT DID NOT OPERATE AFTER 1976.","","PRE-1976",44.73252,-68.63461
"WINTERVILLE PLT LANDFILL",29890,"NORTH QUIMBY RD","WINTERVILLE PLT","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",46.97117,-68.61
"WOODSTOCK LANDFILL",29515,"RTE 232","WOODSTOCK","2.5 ACRE LANDFILL CLOSED IN 1985 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1985 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",44.41151,-70.6425
"GREENBUSH OLD MUNICIPAL LANDFILL",60565,"OLD DUMP ROAD","GREENBUSH","1.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. THERE ARE 4 MONITORING WELLS ASSOCIATED WITH THIS LANDFILL","POST-1976",45.106,-68.62683
"HUDSON LANDFILL",29630,"OFF HUDSON ROAD ON TAMBURO LN","HUDSON","1.7 ACRE LANDFILL CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  1.7 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.99289,-68.88851
"ORONO MUNICIPAL AND C AND D DEBRIS LANDFILL",31243,"PUTNAM ROAD","ORONO","10 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM. CDD IS STILL ACTIVE (2014)","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 10 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM. HISTORICAL NOTES: THE TOWN OF ORONO WAS GRANTED APPROVAL ON FEBRUARY 16, 1995, TO CONSTRUCT AND OPERATE A LANDFILL FOR THE DISPOSAL OF C AND D DEBRIS, INERT MATERIAL, WOODWASTE AND ASH FROM THE BURNING OF WOOD WASTE, TIRES AND WHITE GOODS. THE LANDFILL WAS TO BE LOCATED ON APPROX. 5 ACRES OF AN APPROX. 195 ACRE PARCEL OF PROPERTY OFF FOREST AVENUE, AND WAS TO BE DEVELOPED IN THREE PHASES, HAVE A MAXIMUM TOTAL CAPACITY OF APPROX. 110,600 CU.YDS, AND IS EXPECTED TO PROVIDE ORONO APPROX. 30.2 YRS. OF DISPOSAL CAPACITY.  CDD IS STILL ACTIVE (2014)","POST-1976",44.90285,-68.72652
"OXFORD LANDFILL",29510,"OFF RTE 26","OXFORD","7 ACRE LANDFILL CLOSED IN 1985 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1985 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  7 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.NOTES: SITE IS LOCATED ON THE LITTLE ANDROSCOGGIN VALLEY AQUIFER.  IT HAS BEEN CLOSED, BUT THE TRANSFER STATION IS LOCATED THERE.  THERE ARE MONITORING WELLS, BUT APPARENTLY NO MONITORING RESULTS.","POST-1976",44.15216,-70.50101
"FORT FAIRFIELD LANDFILL",29818,"NORTH CARIBOU RD","FORT FAIRFIELD","2.5 ACRE LANDFILL CLOSED IN 1980 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   HISTORY: SITE SELECTED IN 1963 AND USED TILL 1970 WHEN IT BECAME CLEAR THAT THE POTATO WASTE, AKA POTATO DIRT, FAILED TO DECOMPOSE FAST ENOUGH AND CAUSED A POLLUTION AND ODOR PROBLEM. THIS WAS IN THE FAR NORTHEAST CORNER OF THE 58 ACRE LOT.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1980 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  HISTORY: SITE SELECTED IN 1963 AND USED TILL 1970 WHEN IT BECAME CLEAR THAT THE POTATO WASTE, AKA POTATO DIRT, FAILED TO DECOMPOSE FAST ENOUGH AND CAUSED A POLLUTION AND ODOR PROBLEM. THIS WAS IN THE FAR NORTHEAST CORNER OF THE 58 ACRE LOT. THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",46.82424,-67.88953
"FRANKLIN LANDFILL",29760,"RTE 200","FRANKLIN","2.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.59494,-68.25836
"AUBURN GRACELAWN LANDFILL",28331,"GRACELAWN RD","AUBURN","12.5 ACRE LANDFILL CLOSED IN 1980 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  FROM SUMMIT ENVIRONMENTAL 2011 ANNUAL REPORT - THE FORMER GRACELAWN LANDFILL WAS PERVIOUSLY A SAND AND GRAVEL PIT THAT WAS EXCAVATED TO A MAXIMUM DEPTH OF APPROXIMATELY 60 FEET BELOW GROUND SURFACE.  REFUSE WAS DEPOSITED IN THE UNLINED, AND EXCAVATED AREA AND CONSISTED OF MUNICIPAL AND LIGHT INDUSTRIAL WASTES, INLCUDING LIQUIDS FROM 1964 THROUGH 1977.  A CLAY COLVER WAS PLACED IN 1980.  CURRENTLY LAKEVIEW PARK, WHICH CONSISTS OF TWO BASEBALL FIELDS, A PLYGROUND, AND A PICNIC AREA, IS LOCATED ON TOP OF THE CAPPED LANDFILL.","CLOSED IN 1980 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 12.5 ACRE LANDFILL.    THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  FIRST CLOSED IN 1972. MUNICIPAL SOLID WASTE. NINE  MONITORING WELL LOCATIONS ALSO ASSOCIATED WITH; PIONITE DISPOSAL AREA,  GRACELAWN LIQUID DISPOSAL AREA (MW-5), AUBURN INTERIM LANDFILL (MW-205), OLD BURNING DUMP AND DEMO DEBRIS (MW-10, MW-201, MW-301)","POST-1976",44.12429,-70.23828
